#RF00001  120 1428 5S_ribosomal_RNA Published;_PMID:11283358
RF00692  115 18 microRNA_MIR171_2 Predicted;_WAR;_Wilkinson_A
RF00693  71 142 microRNA_mir-147 Predicted;_WAR;_Wilkinson_A
RF00694  101 60 microRNA_mir-137 Predicted;_WAR;_Wilkinson_A
RF00695  111 32 microRNA_MIR398 Predicted;_WAR;_Wilkinson_A
RF00696  82 24 microRNA_mir-203 Predicted;_WAR;_Wilkinson_A
RF00697  93 42 microRNA_mir-186 Predicted;_WAR;_Wilkinson_A
RF00698  93 42 microRNA_mir-489 Predicted;_WAR;_Wilkinson_A
RF00699  74 16 microRNA_mir-134 Predicted;_WAR;_Wilkinson_A
RF00700  70 22 microRNA_mir-375 Predicted;_WAR;_Wilkinson_A
RF00701  74 28 microRNA_mir-126 Predicted;_WAR;_Wilkinson_A
RF00702  86 38 microRNA_mir-182 Predicted;_WAR;_Wilkinson_A
RF00703  69 14 microRNA_mir-139 Predicted;_WAR;_Wilkinson_A
RF00704  118 18 microRNA_MIR397 Predicted;_WAR;_Wilkinson_A
RF00705  88 30 microRNA_mir-202 Predicted;_WAR;_Wilkinson_A
RF00706  93 50 microRNA_mir-263 Predicted;_WAR;_Wilkinson_A
RF00707  76 14 microRNA_mir-197 Predicted;_WAR;_Wilkinson_A
RF00708  92 46 microRNA_mir-450 Predicted;_WAR;_Wilkinson_A
RF00709  87 14 microRNA_mir-455 Predicted;_WAR;_Wilkinson_A
RF00710  95 16 microRNA_mir-44 Predicted;_WAR;_Wilkinson_A
RF00711  91 118 microRNA_mir-449 Predicted;_WAR;_Wilkinson_A
RF00712  78 20 microRNA_mir-460 Predicted;_WAR;_Wilkinson_A
RF00713  107 22 microRNA_mir-239 Predicted;_WAR;_Wilkinson_A
RF00714  102 12 microRNA_MIR535 Predicted;_WAR;_Wilkinson_A
RF00715  74 16 microRNA_mir-383 Predicted;_WAR;_Wilkinson_A
RF00716  71 26 microRNA_mir-3 Predicted;_WAR;_Wilkinson_A
RF00717  85 36 microRNA_mir-315 Predicted;_WAR;_Wilkinson_A
RF00718  115 22 microRNA_mir-431 Predicted;_WAR;_Wilkinson_A
RF00719  96 18 microRNA_mir-326 Predicted;_WAR;_Wilkinson_A
RF00720  92 30 microRNA_mir-317 Predicted;_WAR;_Wilkinson_A
RF00721  83 10 microRNA_MIR475 Predicted;_WAR;_Wilkinson_A
RF00722  73 42 microRNA_mir-451 Predicted;_WAR;_Wilkinson_A
RF00723  113 42 microRNA_mir-448 Predicted;_WAR;_Wilkinson_A
RF00724  96 34 microRNA_mir-282 Predicted;_WAR;_Wilkinson_A
RF00725  85 20 microRNA_mir-iab-4 Predicted;_WAR;_Wilkinson_A
RF00726  105 26 microRNA_mir-87 Predicted;_WAR;_Wilkinson_A
RF00727  90 26 microRNA_bantam Predicted;_WAR;_Wilkinson_A
RF00728  103 22 microRNA_mir-81 Predicted;_WAR;_Wilkinson_A
RF00729  101 26 microRNA_mir-278 Predicted;_WAR;_Wilkinson_A
RF00730  102 28 microRNA_mir-277 Predicted;_WAR;_Wilkinson_A
RF00731  66 38 microRNA_mir-155 Predicted;_WAR;_Wilkinson_A
RF00732  89 32 microRNA_mir-305 Predicted;_WAR;_Wilkinson_A
RF00733  81 28 microRNA_mir-296 Predicted;_WAR;_Wilkinson_A
RF00734  100 14 microRNA_mir-52 Predicted;_WAR;_Wilkinson_A
RF00735  69 30 microRNA_mir-367 Predicted;_WAR;_Wilkinson_A
RF00736  83 116 microRNA_mir-320 Predicted;_WAR;_Wilkinson_A
RF00737  85 26 microRNA_mir-322 Predicted;_WAR;_Wilkinson_A
RF00739  94 8 microRNA_MIR476 Predicted;_WAR;_Wilkinson_A
RF00740  80 18 microRNA_mir-370 Predicted;_WAR;_Wilkinson_A
RF00741  49 18 microRNA_mir-378 Predicted;_RNAalifold
RF00742  92 24 microRNA_MIR162_2 Predicted;_WAR;_Wilkinson_A
RF00743  64 26 microRNA_mir-308 Predicted;_WAR;_Wilkinson_A
RF00744  72 14 microRNA_mir-361 Predicted;_WAR;_Wilkinson_A
RF00745  90 42 microRNA_mir-499 Predicted;_WAR;_Wilkinson_A
RF00746  116 38 microRNA_mir-454 Predicted;_WAR;_Wilkinson_A
RF00747  99 30 microRNA_mir-283 Predicted;_WAR;_Wilkinson_A
RF00748  94 14 microRNA_mir-433 Predicted;_WAR;_Wilkinson_A
RF00749  81 40 microRNA_mir-208 Predicted;_WAR;_Wilkinson_A
RF00750  79 18 microRNA_mir-458 Predicted;_WAR;_Wilkinson_A
RF00751  75 20 microRNA_mir-12 Predicted;_WAR;_Wilkinson_A
RF00752  64 16 microRNA_mir-14 Predicted;_WAR;_Wilkinson_A
RF00753  72 32 microRNA_mir-503 Predicted;_WAR;_Wilkinson_A
RF00754  94 28 microRNA_mir-279 Predicted;_WAR;_Wilkinson_A
RF00755  86 14 microRNA_mir-542 Predicted;_WAR;_Wilkinson_A
RF00756  64 16 microRNA_mir-299 Predicted;_WAR;_Wilkinson_A
RF00757  92 34 microRNA_mir-275 Predicted;_WAR;_Wilkinson_A
RF00758  99 16 microRNA_mir-346 Predicted;_WAR;_Wilkinson_A
RF00760  100 24 microRNA_mir-342 Predicted;_WAR;_Wilkinson_A
RF00761  99 92 microRNA_mir-340 Predicted;_WAR;_Wilkinson_A
RF00762  91 26 microRNA_mir-412 Predicted;_WAR;_Wilkinson_A
RF00763  97 34 microRNA_mir-339 Predicted;_WAR;_Wilkinson_A
RF00764  92 14 microRNA_mir-191 Predicted;_WAR;_Wilkinson_A
RF00765  97 14 microRNA_mir-337 Predicted;_WAR;_Wilkinson_A
RF00766  99 20 microRNA_mir-335 Predicted;_WAR;_Wilkinson_A
RF00767  86 38 microRNA_mir-150 Predicted;_WAR;_Wilkinson_A
RF00768  61 28 microRNA_MIR405 Predicted;_WAR;_Wilkinson_A
RF00769  95 14 microRNA_mir-331 Predicted;_WAR;_Wilkinson_A
RF00770  98 16 microRNA_mir-330 Predicted;_WAR;_Wilkinson_A
RF00771  82 14 microRNA_mir-185 Predicted;_WAR;_Wilkinson_A
RF00772  85 32 microRNA_mir-328 Predicted;_WAR;_Wilkinson_A
RF00773  89 12 microRNA_mir-298 Predicted;_WAR;_Wilkinson_A
RF00774  115 12 microRNA_mir-360 Predicted;_WAR;_Wilkinson_A
RF00775  95 16 microRNA_mir-432 Predicted;_WAR;_Wilkinson_A
RF00776  85 8 microRNA_mir-540 Predicted;_WAR;_Wilkinson_A
RF00777  91 24 microRNA_mir-541 Predicted;_WAR;_Wilkinson_A
RF00778  87 16 microRNA_MIR473 Predicted;_WAR;_Wilkinson_A
RF00779  108 26 microRNA_MIR474 Predicted;_WAR;_Wilkinson_A
RF00780  114 10 microRNA_MIR477 Predicted;_WAR;_Wilkinson_A
RF00781  85 10 microRNA_mir-505 Predicted;_WAR;_Wilkinson_A
RF00782  141 142 microRNA_MIR480 Predicted;_WAR;_Wilkinson_A
RF00783  68 32 microRNA_mir-484 Predicted;_WAR;_Wilkinson_A
RF00784  69 28 microRNA_mir-486 Predicted;_WAR;_Wilkinson_A
RF00785  103 14 microRNA_mir-90 Predicted;_WAR;_Wilkinson_A
RF00786  101 10 microRNA_mir-289 Predicted;_WAR;_Wilkinson_A
RF00787  98 18 microRNA_mir-288 Predicted;_WAR;_Wilkinson_A
RF00788  94 22 microRNA_mir-287 Predicted;_WAR;_Wilkinson_A
RF00789  101 32 microRNA_mir-286 Predicted;_WAR;_Wilkinson_A
RF00790  112 10 microRNA_mir-358 Predicted;_WAR;_Wilkinson_A
RF00791  113 14 microRNA_mir-357 Predicted;_WAR;_Wilkinson_A
RF00792  129 40 microRNA_mir-490 Predicted;_WAR;_Wilkinson_A
RF00793  113 20 microRNA_mir-497 Predicted;_WAR;_Wilkinson_A
RF00794  103 12 microRNA_mir-42 Predicted;_WAR;_Wilkinson_A
RF00795  100 12 microRNA_mir-43 Predicted;_WAR;_Wilkinson_A
RF00796  115 12 microRNA_mir-48 Predicted;_WAR;_Burge_S
RF00797  121 12 microRNA_mir-355 Predicted;_WAR;_Wilkinson_A
RF00798  101 12 microRNA_mir-49 Predicted;_WAR;_Wilkinson_A
RF00799  121 12 microRNA_mir-354 Predicted;_WAR;_Wilkinson_A
RF00800  116 12 microRNA_mir-353 Predicted;_WAR;_Wilkinson_A
RF00801  96 20 microRNA_mir-280 Predicted;_WAR;_Wilkinson_A
RF00802  80 16 microRNA_mir-207 Predicted;_WAR;_Wilkinson_A
RF00803  86 14 microRNA_mir-425 Predicted;_WAR;_Wilkinson_A
RF00804  114 10 microRNA_mir-240 Predicted;_WAR;_Wilkinson_A
RF00805  100 8 microRNA_mir-351 Predicted;_WAR;_Wilkinson_A
RF00806  100 26 microRNA_mir-350 Predicted;_WAR;_Wilkinson_A
RF00807  91 16 microRNA_mir-314 Predicted;_WAR;_Wilkinson_A
RF00808  99 14 microRNA_mir-86 Predicted;_WAR;_Wilkinson_A
RF00809  97 12 microRNA_mir-241 Predicted;_WAR;_Wilkinson_A
RF00810  107 12 microRNA_mir-85 Predicted;_WAR;_Wilkinson_A
RF00811  116 12 microRNA_mir-84 Predicted;_WAR;_Wilkinson_A
RF00812  111 12 microRNA_mir-83 Predicted;_WAR;_Wilkinson_A
RF00813  76 34 microRNA_mir-11 Predicted;_WAR;_Wilkinson_A
RF00814  90 12 microRNA_mir-316 Predicted;_WAR;_Wilkinson_A
RF00815  104 12 microRNA_mir-244 Predicted;_WAR;_Wilkinson_A
RF00816  98 14 microRNA_mir-245 Predicted;_WAR;_Wilkinson_A
RF00817  103 12 microRNA_mir-80 Predicted;_WAR;_Wilkinson_A
RF00818  70 14 microRNA_mir-318 Predicted;_WAR;_Wilkinson_A
RF00819  112 12 microRNA_mir-246 Predicted;_WAR;_Wilkinson_A
RF00820  106 12 microRNA_mir-248 Predicted;_WAR;_Wilkinson_A
RF00821  113 12 microRNA_mir-249 Predicted;_WAR;_Wilkinson_A
RF00822  101 18 microRNA_mir-274 Predicted;_WAR;_Wilkinson_A
RF00823  75 12 microRNA_lsy-6 Predicted;_WAR;_Wilkinson_A
RF00824  105 14 microRNA_mir-50 Predicted;_WAR;_Wilkinson_A
RF00825  96 74 microRNA_mir-344 Predicted;_WAR;_Wilkinson_A
RF00826  98 14 microRNA_mir-55 Predicted;_WAR;_Wilkinson_A
RF00827  109 14 microRNA_mir-77 Predicted;_WAR;_Wilkinson_A
RF00828  101 12 microRNA_mir-75 Predicted;_WAR;_Wilkinson_A
RF00829  90 10 microRNA_mir-149 Predicted;_WAR;_Wilkinson_A
RF00830  102 12 microRNA_mir-74 Predicted;_WAR;_Wilkinson_A
RF00831  113 18 microRNA_mir-73 Predicted;_WAR;_Wilkinson_A
RF00832  57 34 microRNA_mir-71 Predicted;_WAR;_Wilkinson_A
RF00833  120 12 microRNA_mir-70 Predicted;_WAR;_Wilkinson_A
RF00834  97 12 microRNA_mir-268 Predicted;_WAR;_Wilkinson_A
RF00835  105 12 microRNA_mir-58 Predicted;_WAR;_Wilkinson_A
RF00836  82 12 microRNA_mir-250 Predicted;_WAR;_Wilkinson_A
RF00837  99 12 microRNA_mir-251 Predicted;_WAR;_Wilkinson_A
RF00838  59 22 microRNA_mir-252 Predicted;_WAR;_Wilkinson_A
RF00839  86 12 microRNA_mir-452 Predicted;_WAR;_Wilkinson_A
RF00840  72 32 microRNA_mir-374 Predicted;_WAR;_Wilkinson_A
RF00841  89 36 microRNA_mir-384 Predicted;_WAR;_Wilkinson_A
RF00842  116 26 microRNA_MIR403 Predicted;_WAR;_Wilkinson_A
RF00843  100 12 microRNA_mir-228 Predicted;_WAR;_Wilkinson_A
RF00844  39 30 microRNA_mir-67 Predicted;_WAR;_Wilkinson_A
RF00845  101 8 microRNA_MIR158 Predicted;_WAR;_Wilkinson_A
RF00846  115 12 microRNA_mir-64 Predicted;_WAR;_Wilkinson_A
RF00847  45 10 microRNA_mir-62 Predicted;_WAR;_Wilkinson_A
RF00848  65 10 microRNA_mir-61 Predicted;_WAR;_Wilkinson_A
RF00849  73 12 microRNA_mir-60 Predicted;_WAR;_Wilkinson_A
RF00850  104 12 microRNA_mir-259 Predicted;_WAR;_Wilkinson_A
RF00851  99 8 microRNA_mir-230 Predicted;_WAR;_Wilkinson_A
RF00852  53 10 microRNA_mir-231 Predicted;_WAR;_Wilkinson_A
RF00853  89 14 microRNA_mir-304 Predicted;_WAR;_Wilkinson_A
RF00854  73 16 microRNA_mir-5 Predicted;_WAR;_Wilkinson_A
RF00855  117 12 microRNA_mir-254 Predicted;_WAR;_Wilkinson_A
RF00856  101 10 microRNA_mir-232 Predicted;_WAR;_Wilkinson_A
RF00857  104 12 microRNA_mir-233 Predicted;_WAR;_Wilkinson_A
RF00858  67 16 microRNA_mir-306 Predicted;_WAR;_Wilkinson_A
RF00859  103 12 microRNA_mir-234 Predicted;_WAR;_Wilkinson_A
RF00861  84 14 microRNA_mir-488 Predicted;_WAR;_Wilkinson_A
RF00862  85 14 microRNA_mir-491 Predicted;_WAR;_Wilkinson_A
RF00863  105 8 microRNA_mir-BART17 Predicted;_WAR;_Wilkinson_A
RF00864  57 6 microRNA_mir-BART20 Predicted;_WAR;_Wilkinson_A
RF00865  130 16 microRNA_MIR169_5 Predicted;_WAR;_Wilkinson_A
RF00866  59 6 microRNA_mir-BART3 Predicted;_WAR;_Wilkinson_A
RF00867  90 8 microRNA_mir-BART5 Predicted;_WAR;_Wilkinson_A
RF00868  80 8 microRNA_mir-BART15 Predicted;_WAR;_Wilkinson_A
RF00869  87 8 microRNA_mir-BART7 Predicted;_WAR;_Wilkinson_A
RF00870  63 10 microRNA_mir-423 Predicted;_WAR;_Wilkinson_A
RF00871  138 36 microRNA_mir-689 Predicted;_WAR;_Wilkinson_A
RF00872  99 36 microRNA_mir-652 Predicted;_WAR;_Wilkinson_A
RF00873  98 10 microRNA_mir-550 Predicted;_WAR;_Wilkinson_A
RF00874  97 8 microRNA_mir-BART12 Predicted;_WAR;_Wilkinson_A
RF00875  82 26 microRNA_mir-692 Predicted;_WAR;_Wilkinson_A
RF00876  89 60 microRNA_mir-684 Predicted;_WAR;_Wilkinson_A
RF00877  89 14 microRNA_mir-592 Predicted;_WAR;_Wilkinson_A
RF00878  113 14 microRNA_mir-456 Predicted;_WAR;_Wilkinson_A
RF00879  97 16 microRNA_mir-615 Predicted;_WAR;_Wilkinson_A
RF00882  191 14 microRNA_MIR811 Predicted;_WAR;_Wilkinson_A
RF00883  153 6 microRNA_MIR820 Predicted;_WAR;_Wilkinson_A
RF00884  86 10 microRNA_MIR815 Predicted;_WAR;_Wilkinson_A
RF00885  276 14 microRNA_MIR821 Predicted;_WAR;_Wilkinson_A
RF00886  177 72 microRNA_MIR807 Predicted;_WAR;_Wilkinson_A
RF00887  95 30 microRNA_mir-802 Predicted;_WAR;_Wilkinson_A
RF00888  81 10 microRNA_mir-770 Predicted;_WAR;_Wilkinson_A
RF00890  67 16 microRNA_mir-668 Predicted;_WAR;_Wilkinson_A
RF00891  76 10 microRNA_mir-671 Predicted;_WAR;_Wilkinson_A
RF00892  87 44 microRNA_mir-551 Predicted;_WAR;_Wilkinson_A
RF00893  222 10 microRNA_MIR854 Predicted;_WAR;_Wilkinson_A
RF00894  72 8 microRNA_mir-790 Predicted;_WAR;_Wilkinson_A
RF00895  92 8 microRNA_mir-786 Predicted;_WAR;_Wilkinson_A
RF00896  93 8 microRNA_mir-787 Predicted;_WAR;_Wilkinson_A
RF00897  74 26 microRNA_mir-675 Predicted;_WAR;_Wilkinson_A
RF00898  73 8 microRNA_mir-242 Predicted;_WAR;_Wilkinson_A
RF00899  77 8 microRNA_mir-235 Predicted;_WAR;_Wilkinson_A
RF00900  122 8 microRNA_mir-255 Predicted;_WAR;_Wilkinson_A
RF00901  92 8 microRNA_MIR845_1 Predicted;_WAR;_Wilkinson_A
RF00902  88 10 microRNA_mir-791 Predicted;_WAR;_Wilkinson_A
RF00903  94 8 microRNA_mir-359 Predicted;_WAR;_Wilkinson_A
RF00904  72 10 microRNA_mir-392 Predicted;_WAR;_Wilkinson_A
RF00905  101 10 microRNA_mir-789 Predicted;_WAR;_Wilkinson_A
RF00906  136 72 microRNA_MIR1122 Predicted;_WAR;_Wilkinson_A
RF00907  90 8 microRNA_mir-941 Predicted;_WAR;_Wilkinson_A
RF00908  138 10 microRNA_MIR529 Predicted;_WAR;_Wilkinson_A
RF00909  80 10 microRNA_mir-883 Predicted;_WAR;_Wilkinson_A
RF00910  78 10 microRNA_mir-873 Predicted;_WAR;_Wilkinson_A
RF00911  61 16 microRNA_mir-672 Predicted;_WAR;_Wilkinson_A
RF00912  87 30 microRNA_mir-877 Predicted;_WAR;_Wilkinson_A
RF00914  101 8 microRNA_mir-674 Predicted;_WAR;_Wilkinson_A
RF00915  81 18 microRNA_mir-760 Predicted;_WAR;_Wilkinson_A
RF00917  89 50 microRNA_mir-708 Predicted;_WAR;_Wilkinson_A
RF00918  86 16 microRNA_mir-872 Predicted;_WAR;_Wilkinson_A
RF00919  79 12 microRNA_mir-874 Predicted;_WAR;_Wilkinson_A
RF00920  134 12 microRNA_MIR444 Predicted;_WAR;_Wilkinson_A
RF00921  95 16 microRNA_mir-665 Predicted;_WAR;_Wilkinson_A
RF00922  77 8 microRNA_mir-673 Predicted;_WAR;_Wilkinson_A
RF00925  87 6 microRNA_MIR1027 Predicted;_RNAalifold;_Daub_J
RF00926  145 8 microRNA_MIR1151 Predicted;_WAR;_Wilkinson_A
RF00927  99 18 microRNA_mir-582 Predicted;_WAR;_Wilkinson_A
RF00928  98 24 microRNA_mir-590 Predicted;_WAR;_Wilkinson_A
RF00929  79 10 microRNA_mir-574 Predicted;_WAR;_Wilkinson_A
RF00931  77 8 microRNA_mir-879 Predicted;_WAR;_Wilkinson_A
RF00932  79 8 microRNA_mir-471 Predicted;_WAR;_Wilkinson_A
RF00933  77 22 microRNA_mir-875 Predicted;_WAR;_Wilkinson_A
RF00934  82 8 microRNA_mir-463 Predicted;_WAR;_Wilkinson_A
RF00935  82 10 microRNA_mir-876 Predicted;_WAR;_Wilkinson_A
RF00936  101 14 microRNA_mir-744 Predicted;_WAR;_Wilkinson_A
RF00937  97 28 microRNA_mir-653 Predicted;_WAR;_Wilkinson_A
RF00939  84 16 microRNA_mir-504 Predicted;_WAR;_Wilkinson_A
RF00940  63 8 microRNA_mir-327 Predicted;_WAR;_Wilkinson_A
RF00941  95 8 microRNA_mir-434 Predicted;_WAR;_Wilkinson_A
RF00942  87 26 microRNA_mir-1224 Predicted;_WAR;_Wilkinson_A
RF00943  667 28 microRNA_MIR824 Predicted;_WAR;_Wilkinson_A
RF00945  76 8 microRNA_mir-1226 Predicted;_WAR;_Wilkinson_A
RF00946  91 18 microRNA_mir-1225 Predicted;_WAR;_Wilkinson_A
RF00947  96 34 microRNA_mir-929 Predicted;_WAR;_Wilkinson_A
RF00948  99 14 microRNA_mir-996 Predicted;_WAR;_Wilkinson_A
RF00949  100 10 microRNA_mir-983 Predicted;_WAR;_Wilkinson_A
RF00950  79 32 microRNA_mir-927 Predicted;_WAR;_Wilkinson_A
RF00951  53 66 microRNA_mir-1302 Predicted;_WAR;_Wilkinson_A
RF00952  96 26 microRNA_mir-650 Predicted;_WAR;_Wilkinson_A
RF00953  33 6 microRNA_mir-1497 Predicted;_WAR;_Wilkinson_A
RF00954  106 18 microRNA_MIR1446 Predicted;_WAR;_Wilkinson_A
RF00955  61 10 microRNA_mir-1829 Predicted;_WAR;_Wilkinson_A
RF00956  88 10 microRNA_MIR1444 Predicted;_WAR;_Wilkinson_A
RF00957  94 28 microRNA_mir-663 Predicted;_WAR;_Wilkinson_A
RF00958  125 14 microRNA_mir-498 Predicted;_WAR;_Wilkinson_A
RF00959  101 16 microRNA_mir-612 Predicted;_WAR;_Wilkinson_A
RF00960  99 12 microRNA_mir-661 Predicted;_WAR;_Wilkinson_A
RF00961  97 8 microRNA_mir-581 Predicted;_WAR;_Wilkinson_A
RF00962  100 8 microRNA_mir-586 Predicted;_WAR;_Wilkinson_A
RF00963  98 8 microRNA_mir-642 Predicted;_WAR;_Wilkinson_A
RF00964  84 8 microRNA_mir-938 Predicted;_WAR;_Wilkinson_A
RF00965  97 8 microRNA_mir-549 Predicted;_WAR;_Wilkinson_A
RF00966  90 16 microRNA_mir-676 Predicted;_WAR;_Wilkinson_A
RF00967  85 8 microRNA_mir-281 Predicted;_WAR;_Wilkinson_A
RF00968  96 16 microRNA_mir-626 Predicted;_WAR;_Wilkinson_A
RF00969  96 8 microRNA_mir-556 Predicted;_WAR;_Wilkinson_A
RF00970  95 8 microRNA_mir-648 Predicted;_WAR;_Wilkinson_A
RF00971  98 10 microRNA_mir-578 Predicted;_WAR;_Wilkinson_A
RF00972  98 12 microRNA_mir-651 Predicted;_WAR;_Wilkinson_A
RF00973  98 12 microRNA_mir-597 Predicted;_WAR;_Wilkinson_A
RF00974  97 10 microRNA_mir-607 Predicted;_WAR;_Wilkinson_A
RF00975  132 8 microRNA_MIR845_2 Predicted;_WAR;_Wilkinson_A
RF00976  76 10 microRNA_mir-583 Predicted;_WAR;_Wilkinson_A
RF00977  82 10 microRNA_mir-600 Predicted;_WAR;_Wilkinson_A
RF00978  101 16 microRNA_mir-638 Predicted;_WAR;_Wilkinson_A
RF00979  69 10 microRNA_mir-553 Predicted;_WAR;_Wilkinson_A
RF00980  98 8 microRNA_mir-643 Predicted;_WAR;_Wilkinson_A
RF00981  63 8 microRNA_mir-939 Predicted;_RNAalifold
RF00983  96 32 microRNA_mir-662 Predicted;_WAR;_Wilkinson_A
RF00984  99 8 microRNA_mir-576 Predicted;_WAR;_Wilkinson_A
RF00985  59 8 microRNA_mir-640 Predicted;_WAR;_Wilkinson_A
RF00986  76 12 microRNA_mir-920 Predicted;_WAR;_Wilkinson_A
RF00987  100 8 microRNA_mir-589 Predicted;_WAR;_Wilkinson_A
RF00988  99 8 microRNA_mir-657 Predicted;_WAR;_Wilkinson_A
RF00989  117 32 microRNA_mir-492 Predicted;_WAR;_Wilkinson_A
RF00990  69 6 microRNA_mir-552 Predicted;_RNAalifold
RF00991  96 26 microRNA_mir-599 Predicted;_WAR;_Wilkinson_A
RF00992  101 8 microRNA_mir-593 Predicted;_WAR;_Wilkinson_A
RF00993  85 8 microRNA_mir-1473 Predicted;_WAR;_Wilkinson_A
RF00994  67 24 microRNA_mir-1255 Predicted;_WAR;_Wilkinson_A
RF00995  99 10 microRNA_mir-616 Predicted;_WAR;_Wilkinson_A
RF00996  76 18 microRNA_mir-631 Predicted;_WAR;_Wilkinson_A
RF00997  87 8 microRNA_mir-942 Predicted;_WAR;_Wilkinson_A
RF00998  96 40 microRNA_mir-562 Predicted;_WAR;_Wilkinson_A
RF00999  54 12 microRNA_mir-924 Predicted;_WAR;_Wilkinson_A
RF01000  98 8 microRNA_mir-580 Predicted;_WAR;_Wilkinson_A
RF01001  96 8 microRNA_mir-609 Predicted;_WAR;_Wilkinson_A
RF01002  99 12 microRNA_mir-936 Predicted;_WAR;_Wilkinson_A
RF01003  80 18 microRNA_mir-563 Predicted;_WAR;_Wilkinson_A
RF01004  72 8 microRNA_mir-557 Predicted;_WAR;_Wilkinson_A
RF01005  177 10 microRNA_MIR530 Predicted;_WAR;_Wilkinson_A
RF01006  80 10 microRNA_mir-601 Predicted;_WAR;_Wilkinson_A
RF01007  99 8 microRNA_mir-624 Predicted;_WAR;_Wilkinson_A
RF01008  100 14 microRNA_mir-636 Predicted;_WAR;_Wilkinson_A
RF01009  74 8 microRNA_mir-M7 Predicted;_WAR;_Wilkinson_A
RF01010  95 36 microRNA_mir-632 Predicted;_WAR;_Wilkinson_A
RF01011  84 8 microRNA_mir-605 Predicted;_WAR;_Wilkinson_A
RF01012  96 22 microRNA_mir-628 Predicted;_WAR;_Wilkinson_A
RF01013  97 8 microRNA_mir-577 Predicted;_WAR;_Wilkinson_A
RF01014  75 20 microRNA_mir-1306 Predicted;_WAR;_Wilkinson_A
RF01015  75 10 microRNA_mir-885 Predicted;_WAR;_Wilkinson_A
RF01016  98 36 microRNA_mir-584 Predicted;_WAR;_Wilkinson_A
RF01017  87 8 microRNA_mir-625 Predicted;_WAR;_Wilkinson_A
RF01018  97 30 microRNA_mir-569 Predicted;_WAR;_Wilkinson_A
RF01019  82 28 microRNA_mir-922 Predicted;_WAR;_Wilkinson_A
RF01020  57 12 microRNA_mir-572 Predicted;_WAR;_Wilkinson_A
RF01021  69 8 microRNA_mir-558 Predicted;_WAR;_Wilkinson_A
RF01022  68 20 microRNA_mir-611 Predicted;_WAR;_Wilkinson_A
RF01023  95 20 microRNA_mir-940 Predicted;_WAR;_Wilkinson_A
RF01024  89 8 microRNA_mir-944 Predicted;_WAR;_Wilkinson_A
RF01025  84 8 microRNA_mir-934 Predicted;_WAR;_Wilkinson_A
RF01026  101 14 microRNA_MIR828 Predicted;_WAR;_Wilkinson_A
RF01027  115 8 microRNA_mir-765 Predicted;_WAR;_Wilkinson_A
RF01028  101 10 microRNA_mir-633 Predicted;_WAR;_Wilkinson_A
RF01029  98 18 microRNA_mir-649 Predicted;_WAR;_Wilkinson_A
RF01030  91 10 microRNA_mir-422 Predicted;_WAR;_Wilkinson_A
RF01031  99 16 microRNA_mir-639 Predicted;_WAR;_Wilkinson_A
RF01032  97 12 microRNA_mir-554 Predicted;_WAR;_Wilkinson_A
RF01033  111 32 microRNA_mir-767 Predicted;_WAR;_Wilkinson_A
RF01034  102 14 microRNA_mir-618 Predicted;_WAR;_Wilkinson_A
RF01035  80 10 microRNA_mir-887 Predicted;_WAR;_Wilkinson_A
RF01036  99 22 microRNA_mir-567 Predicted;_WAR;_Wilkinson_A
RF01037  95 10 microRNA_mir-644 Predicted;_RNAalifold
RF01038  101 18 microRNA_mir-1307 Predicted;_WAR;_Wilkinson_A
RF01039  87 22 microRNA_mir-937 Predicted;_WAR;_Wilkinson_A
RF01040  100 8 microRNA_mir-573 Predicted;_WAR;_Wilkinson_A
RF01041  95 8 microRNA_mir-604 Predicted;_WAR;_Wilkinson_A
RF01042  80 18 microRNA_mir-891 Predicted;_RNAalifold
RF01043  93 10 microRNA_MIR1023 Predicted;_RNAalifold
RF01044  97 24 microRNA_mir-345 Predicted;_WAR;_Wilkinson_A
RF01045  92 52 microRNA_mir-544 Predicted;_WAR;_Wilkinson_A
RF01046  35 22 Wingless_localisation_element_3_(WLE3) Predicted;_RNAalifold
RF01047  62 68 HBV_RNA_encapsidation_signal_epsilon Published;_PMID:12409471
RF01050  1209 30 Saccharomyces_telomerase Published;_PMID:15242611
RF01051  88 314 Cyclic_di-GMP-I_riboswitch Published;_PMID:17621584
RF01052  446 42 Arthropod_7SK_RNA Published;_PMID:18566019
RF01053  127 8 Deinococcus_radiodurans_Y_RNA Published;_PMID:10766734
RF01054  100 32 preQ1-II_(pre_queuosine)_riboswitch Published;_PMID:18305186;_Gardner_PP
#RF01055  137 324 Moco_(molybdenum_cofactor)_riboswitch Published;_PMID:18363797
RF01056  114 12 Magnesium_Sensor Published;_PMID:17381304
RF01057  79 108 S-adenosyl-L-homocysteine_riboswitch Published;_PMID:18374645
RF01059  98 52 microRNA_mir-598 Predicted;_WAR;_Wilkinson_A
RF01061  85 112 microRNA_mir-548 Predicted;_WAR;_Wilkinson_A
RF01063  84 54 microRNA_mir-324 Predicted;_WAR;_Wilkinson_A
RF01064  101 12 microRNA_mir-253 Predicted;_WAR;_Wilkinson_A
RF01065  71 40 23S_methyl_RNA_motif Published;_PMID:17621584;_Weinberg_Z
RF01066  51 42 6C_RNA Published;_PMID:17621584;_Weinberg_Z
RF01067  49 186 ATPC_RNA_motif Published;_PMID:17621584;_Weinberg_Z
